word,count
vent,91
sob,91
lonely,91
readily,91
college,91
infant,91
moor,91
bride,91
amusement,91
dispatch,91
rival,90
luck,90
gossip,90
alike,90
diary,90
hush,90
lower,90
subtle,90
clasp,90
reading,90
constantly,90
favor,90
challenge,90
assembly,90
backward,90
fiery,90
cabin,90
wed,90
invention,90
chettam,90
somerset,90
hesitate,89
garment,89
fortunate,89
mourn,89
expedition,89
attitude,89
whereas,89
parcel,89
climb,89
steady,89
occupation,89
hire,89
survive,89
receipt,89
despite,89
statement,89
curl,89
footman,89
laughter,89
comprehend,89
martius,89
jekyll,89
san,88
horrid,88
clap,88
elbow,88
threat,88
source,88
lightning,88
station,88
chin,88
soothe,88
visitor,88
knew,88
disorder,88
abide,88
executioner,88
satisfied,88
wont,88
popular,88
lizzy,88
application,88
thrice,88
angelo,88
kitty,88
online,87
solid,87
funny,87
heave,87
load,87
subdue,87
apology,87
decent,87
weed,87
legal,87
feather,87
exhibit,87
providence,87
sore,87
inhabitant,87
polite,87
tidings,87
impatience,87
bhaer,87
diego,87
reverend,86
unexpected,86
shudder,86
pin,86
spell,86
dragon,86
christmas,86
frank,86
gesture,86
crush,86
peasant,86
milk,86
faculty,86
wherever,86
modest,86
region,86
craft,86
distinction,86
heed,86
mode,86
century,86
awhile,86
soil,86
gravely,85
size,85
attain,85
discern,85
employment,85
omit,85
mouse,85
volume,85
status,85
befall,85
shouldst,85
virgin,85
medicine,85
enforce,85
exert,85
lust,85
tempest,85
favourable,85
forbear,85
duc,85
apparent,84
comparison,84
score,84
mysterious,84
hasty,84
keen,84
seriously,84
motif,84
nerve,84
alteration,84
judgement,84
aloft,84
mamma,84
humanity,84
lane,84
defy,84
purple,84
spout,84
lecture,83
tedious,83
inferior,83
firmly,83
roof,83
creation,83
contact,83
extent,83
tumble,83
wink,83
diamond,83
eldest,83
anguish,83
forsake,83
suck,83
instruct,83
sweat,83
moby,83
nantucket,83
liddy,83
selfish,82
athens,82
rapture,82
bargain,82
destruction,82
intercourse,82
exclamation,82
humbly,82
feeble,82
promote,82
sire,82
household,82
gray,82
complaint,82
extremity,82
loving,82
crow,82
louis,82
conjure,82
guinea,82
twixt,82
tabitha,82
novel,81
official,81
proceeding,81
jolly,81
solitary,81
replace,81
treatment,81
slain,81
neighbor,81
forfeit,81
displeasure,81
blunt,81
frenchman,81
ambitious,81
contribute,81
quincey,81
godalming,81
totally,81
chevalier,81
monk,81
mellersh,81
detest,80
hammer,80
spar,80
useless,80
respectable,80
interpret,80
protection,80
straw,80
bonnet,80
website,80
disclaimer,80
justly,80
bearing,80
youthful,80
devise,80
sickness,80
sofa,80
jenny,80
entreaty,80
rail,80
caution,80
discretion,80
learning,80
troy,80
sunshine,79
knit,79
passionate,79
accustom,79
rapidly,79
absurd,79
slender,79
bolt,79
reverence,79
rector,79
closet,79
egg,79
limit,79
grim,79
pledge,79
perish,79
correspondence,79
similar,79
scotch,79
wrench,79
multitude,79
resign,79
cissy,79
cassius,79
bazin,79
overtake,78
shelter,78
blot,78
function,78
suggestion,78
generation,78
howl,78
hostess,78
sunset,78
solemnly,78
amaze,78
witch,78
funeral,78
englishman,78
accomplishment,78
april,78
mask,78
remorse,78
impute,78
salisbury,78
countess,78
cavalier,78
twill,78
clifford,78
lucas,78
montague,78
bardolph,78
fling,77
hateful,77
correct,77
assert,77
kick,77
involve,77
papa,77
provision,77
fifth,77
mayst,77
relish,77
determination,77
follower,77
mixture,77
dame,77
tenderly,77
learned,77
lawful,77
sour,77
achilles,77
valentine,77
salvatore,77
nervous,76
surface,76
military,76
lunch,76
linger,76
charming,76
chest,76
sincere,76
indifference,76
wrinkle,76
startle,76
national,76
shilling,76
dawn,76
rightly,76
liable,76
hare,76
rose,76
grandfather,76
slaughter,76
adopt,76
bench,76
lest,76
enjoyment,76
pillow,76
portion,76
deborah,76
lamb,76
mental,76
tutor,76
recollection,76
rosy,76
moonlight,76
harbour,76
zeal,76
remarkably,76
compass,76
surprize,76
counterfeit,76
dauphin,76
